"";"level";"Não ";"Sim";"p"
"n";"";"52";"12";""
"Sexo (%)";"F";"22 (42.3) ";" 6 (50.0) ";" 0.750"
"";"M";"30 (57.7) ";" 6 (50.0) ";""
"Tipo_Histologico (%)";"G1";"26 (50.0) ";" 0 ( 0.0) ";"<0.001"
"";"G2";"18 (34.6) ";" 1 ( 8.3) ";""
"";"G3";" 1 ( 1.9) ";" 2 (16.7) ";""
"";"D";" 4 ( 7.7) ";" 8 (66.7) ";""
"";"CC";" 3 ( 5.8) ";" 1 ( 8.3) ";""
"Obito (%)";"Não";"47 (90.4) ";" 5 (41.7) ";" 0.001"
"";"Sim";" 5 ( 9.6) ";" 7 (58.3) ";""
"Local_Recidiva (%)";"Não";"48 (92.3) ";" 7 (63.6) ";" 0.026"
"";"Sim";" 4 ( 7.7) ";" 4 (36.4) ";""
"Localizacao (%)";"apendicular";"37 (71.2) ";" 9 (75.0) ";" 1.000"
"";"axial";"15 (28.8) ";" 3 (25.0) ";""
"Tipo_Cirurgia (%)";"ampla";"32 (61.5) ";" 4 (33.3) ";" 0.030"
"";"intralesional";" 7 (13.5) ";" 0 ( 0.0) ";""
"";"marginal";" 1 ( 1.9) ";" 0 ( 0.0) ";""
"";"radical";"11 (21.2) ";" 7 (58.3) ";""
"";"radioterapia";" 1 ( 1.9) ";" 0 ( 0.0) ";""
"";"sem tratamento";" 0 ( 0.0) ";" 1 ( 8.3) ";""
"Estadiamento (%)";"IA";"20 (38.5) ";" 0 ( 0.0) ";"<0.001"
"";"IB";" 9 (17.3) ";" 1 ( 8.3) ";""
"";"IIA";" 8 (15.4) ";" 1 ( 8.3) ";""
"";"IIB";"15 (28.8) ";" 6 (50.0) ";""
"";"III";" 0 ( 0.0) ";" 4 (33.3) ";""
"tempo.diagnostico (%)";"<3meses";" 5 ( 9.6) ";" 3 (25.0) ";" 0.237"
"";"3 A 6 MESES";" 5 ( 9.6) ";" 0 ( 0.0) ";""
"";"6m a 1ano";"14 (26.9) ";" 5 (41.7) ";""
"";"1 a 3 anos";"19 (36.5) ";" 4 (33.3) ";""
"";">3anos";" 9 (17.3) ";" 0 ( 0.0) ";""
